scenario,year
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_29740.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_30668.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_31017.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_31355.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_33666.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_34936.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35000.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35674.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_36721.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_36815.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_36874.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_37131.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_37372.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_37612.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_37940.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_38031.yaml,37
